fid,InputID,TargetID,Distance,Busstops_Count_Pointsdensity,Company_Count_Pointsdensity,Daily_Count_Pointsdensity,Green_Count_Densitypoints,Hospital_Count_Pointsdensity,Restuarant_Count_Pointsdensity,Sample_Count_Pointsdensity,Shops_Count_Pointsdensity,Subway_Count_Pointsdensity,Merged_pm25mean,Merged_pm10mean,Merged_no2mean,Merged_so2mean
"1410","420111001000",1328A,4530.95789203051,5.97351761987882e-05,0.00012702052336694,6.04013677549085e-05,4.33024511478204e-06,3.02006838774542e-05,7.43913904334351e-06,1.35458949744464e-05,7.43913904334351e-06,2.22063852040105e-07,,,,
"1411","420111083000",1333A,36575.7816620363,5.08411250069253e-06,6.26385131300792e-06,1.40445096704214e-06,6.74136464180225e-07,1.54489606374635e-06,2.24712154726742e-07,8.42670580225281e-08,2.24712154726742e-07,0,,,,
"1412","420111083000",1334A,65256.2125470731,5.08411250069253e-06,6.26385131300792e-06,1.40445096704214e-06,6.74136464180225e-07,1.54489606374635e-06,2.24712154726742e-07,8.42670580225281e-08,2.24712154726742e-07,0,,,,
"1413","420111083000",1332A,10105.795953022,5.08411250069253e-06,6.26385131300792e-06,1.40445096704214e-06,6.74136464180225e-07,1.54489606374635e-06,2.24712154726742e-07,8.42670580225281e-08,2.24712154726742e-07,0,,,,
"1414","420111083000",1325A,15874.0683452809,5.08411250069253e-06,6.26385131300792e-06,1.40445096704214e-06,6.74136464180225e-07,1.54489606374635e-06,2.24712154726742e-07,8.42670580225281e-08,2.24712154726742e-07,0,,,,
"1415","420111083000",1330A,26898.852217844,5.08411250069253e-06,6.26385131300792e-06,1.40445096704214e-06,6.74136464180225e-07,1.54489606374635e-06,2.24712154726742e-07,8.42670580225281e-08,2.24712154726742e-07,0,,,,
"1416","420111083000",1327A,21954.7816513045,5.08411250069253e-06,6.26385131300792e-06,1.40445096704214e-06,6.74136464180225e-07,1.54489606374635e-06,2.24712154726742e-07,8.42670580225281e-08,2.24712154726742e-07,0,,,,
"1417","420111083000",1331A,17445.4420340308,5.08411250069253e-06,6.26385131300792e-06,1.40445096704214e-06,6.74136464180225e-07,1.54489606374635e-06,2.24712154726742e-07,8.42670580225281e-08,2.24712154726742e-07,0,,,,
"1418","420111083000",1326A,22900.667330444,5.08411250069253e-06,6.26385131300792e-06,1.40445096704214e-06,6.74136464180225e-07,1.54489606374635e-06,2.24712154726742e-07,8.42670580225281e-08,2.24712154726742e-07,0,,,,
"1419","420111083000",1329A,15900.5634730479,5.08411250069253e-06,6.26385131300792e-06,1.40445096704214e-06,6.74136464180225e-07,1.54489606374635e-06,2.24712154726742e-07,8.42670580225281e-08,2.24712154726742e-07,0,,,,
